Koerper_Laenge,Koerper_Breite,Fluegel_Laenge,Fluegel_Breite,Art
5.27,3.54,"1,56cm",0.43,Typ A
4.35,2.98,"1,43cm",0.23,Typ A
5.11,3.51,"1,39cm",0.2,Typ A
4.35,2.88,"1,39cm",0.25,Typ A
4.89,3.34,"1,57cm",0.13,Typ A
5.77,4.37,"1,55cm",0.37,Typ A
4.67,2.96,"1,43cm",0.12,Typ A
5.06,3.89,"1,54cm",0.28,Typ A
5.34,3.61,"1,58cm",0.43,Typ A
5.19,3.66,"1,37cm",0.19,Typ A
5.2,3.47,"1,45cm",0.3,Typ A
5.41,3.51,"1,72cm",0.19,Typ A
4.79,3.36,"1,01cm",0.23,Typ A
4.59,3.23,"1,38cm",0.22,Typ A
4.99,3.53,"1,53cm",0.56,Typ A
4.63,3.45,"1,04cm",0.25,Typ A
4.89,3.21,"1,54cm",0.13,Typ A
4.96,3.52,"1,24cm",0.27,Typ A
4.34,2.73,"1,44cm",0.26,Typ A
5.17,3.56,"1,43cm",0.26,Typ A
5.13,3.41,"1,34cm",0.18,Typ A
5.1,3.77,"1,78cm",0.36,Typ A
4.97,2.69,"1,44cm",0.24,Typ A
4.77,3.25,"1,46cm",0.24,Typ A
4.32,2.93,"1,21cm",0.25,Typ A
5.48,3.67,"1,66cm",0.23,Typ A
4.63,2.86,"1,42cm",0.18,Typ A
4.57,3.09,"1,23cm",0.23,Typ A
4.6,3.13,"1,4cm",0.19,Typ A
4.91,3.01,"1,49cm",0.15,Typ A
4.65,3.51,"1,43cm",0.3,Typ A
5.16,4.19,"1,45cm",0.11,Typ A
4.59,3.01,"1,45cm",0.2,Typ A
5.09,3.6,"1,55cm",0.21,Typ A
4.86,3.51,"1,54cm",0.55,Typ A
,,,,
4.79,3.5,"1,36cm",0.32,Typ A
4.95,3.5,"1,23cm",0.28,Typ A
4.61,3.35,"1,78cm",0.26,Typ A
5.43,3.39,"1,72cm",0.2,Typ A
4.77,3.16,"1,22cm",0.22,Typ A
5.24,3.86,"1,76cm",0.41,Typ A
5.05,3.07,"1,56cm",0.14,Typ A
4.72,2.67,"1,32cm",0.16,Typ A
5.41,3.88,"1,6cm",0.41,Typ A
4.88,3.43,"1,23cm",0.34,Typ A
5.08,3.51,"1,44cm",0.19,Typ A
4.47,2.34,"1,23cm",0.3,Typ A
5.3,3.68,"1,6cm",0.37,Typ A
5.19,3.55,"1,47cm",0.19,Typ A
5.17,2.25,"3,06cm",1.12,Typ C
6.18,3.39,"4,65cm",1.62,Typ C
5.08,2.05,"3,66cm",1.07,Typ C
6.3,3.3,"4,54cm",1.5,Typ C
5.32,2.67,"4,38cm",1.28,Typ C
5.38,2.67,"4,29cm",1.32,Typ C
5.73,2.58,"3,82cm",1.2,Typ C
6.86,3.04,"4,66cm",1.37,Typ C
5.54,2.26,"3,72cm",1.27,Typ C
6.55,2.88,"4,49cm",1.35,Typ C
6.42,2.78,"4,69cm",1.43,Typ C
5.65,2.61,"3,72cm",1.17,Typ C
6.24,2.12,"3,87cm",1.02,Typ C
5.73,2.85,"4,26cm",1.34,Typ C
6.05,2.89,"4,55cm",1.17,Typ C
5.7,2.65,"3,93cm",1.14,Typ C
6.68,3.21,"4,5cm",1.28,Typ C
6.61,2.74,"4,19cm",1.36,Typ C
5.75,3.15,"4,21cm",1.24,Typ C
5.08,2.45,"3,27cm",1.06,Typ C
6.21,2.83,"4,59cm",1.44,Typ C
6.49,2.73,"4,52cm",1.41,Typ C
5.81,3.11,"4,2cm",1.14,Typ C
6.14,2.19,"4,72cm",1.47,Typ C
6.16,2.92,"4,16cm",1.3,Typ C
5.18,2.35,"3,26cm",1.07,Typ C
6.06,2.08,"3,72cm",1.01,Typ C
5.04,2.51,"3,14cm",1.04,Typ C
6.62,2.93,"4,3cm",1.32,Typ C
6.0,3.33,"4,44cm",1.55,Typ C
6.33,3.13,"4,74cm",1.27,Typ C
5.14,2.49,"3,17cm",1.1,Typ C
5.61,2.49,"3,91cm",1.24,Typ C
5.76,2.83,"4,57cm",1.4,Typ C
6.29,2.33,"4,52cm",1.34,Typ C
6.18,2.56,"4,75cm",1.5,Typ C
6.66,3.06,"4,57cm",1.52,Typ C
6.14,2.18,"4,74cm",1.43,Typ C
5.39,2.6,"4,22cm",1.34,Typ C
5.36,2.63,"4,47cm",1.17,Typ C
6.06,2.14,"3,97cm",1.02,Typ C
6.67,2.99,"4,43cm",1.4,Typ C
6.25,2.19,"4,47cm",1.51,Typ C
5.87,2.59,"4,16cm",1.11,Typ C
6.65,3.01,"4,54cm",1.34,Typ C
5.5,2.9,"3,46cm",1.29,Typ C
5.2,2.42,"3,02cm",1.05,Typ C
5.96,3.11,"4,71cm",1.28,Typ C
5.72,2.59,"4,31cm",1.1,Typ C
5.52,2.36,"3,9cm",1.09,Typ C
7.31,2.86,"3,92cm",1.34,Typ B
6.12,2.87,"2,78cm",1.33,Typ B
6.87,3.07,"3,22cm",1.62,Typ B
7.39,2.96,"3,85cm",1.19,Typ B
6.75,3.49,"3,3cm",1.63,Typ B
6.93,2.9,"3,82cm",1.46,Typ B
7.36,2.93,"4,04cm",1.5299999999999998,Typ B
7.65,2.61,"4,87cm",1.65,Typ B
7.56,3.78,"4,7cm",1.7200000000000002,Typ B
5.51,2.56,"3,05cm",1.39,Typ B
7.39,2.89,"3,83cm",1.18,Typ B
6.88,3.16,"2,91cm",1.79,Typ B
7.8,2.77,"4,88cm",1.56,Typ B
6.49,3.12,"3,7cm",1.65,Typ B
5.7,2.68,"2,97cm",1.43,Typ B
6.24,2.74,"3,29cm",0.99,Typ B
5.75,2.95,"3,11cm",1.45,Typ B
6.04,2.81,"2,84cm",1.3,Typ B
7.44,2.58,"4,7cm",1.6600000000000001,Typ B
7.53,3.61,"4,8cm",1.73,Typ B
6.07,2.51,"3,33cm",1.05,Typ B
5.92,2.8,"3,59cm",1.7999999999999998,Typ B
62.1,2.9,"2,6cm",1.36,Typ B
6.89,3.06,"3,96cm",1.7999999999999998,Typ B
6.05,2.62,"3,19cm",1.43,Typ B
6.66,3.17,"3,66cm",1.7400000000000002,Typ B
7.6,3.55,"4,77cm",1.6400000000000001,Typ B
7.63,3.56,"4,64cm",1.69,Typ B
6.62,2.79,"3,87cm",1.77,Typ B
6.33,2.52,"3,01cm",1.39,Typ B
6.38,3.51,"3,32cm",1.9300000000000002,Typ B
6.72,3.12,"3,57cm",1.46,Typ B
5.94,2.62,"3,58cm",1.04,Typ B
7.75,3.64,"4,56cm",1.7599999999999998,Typ B
7.22,3.25,"3,78cm",1.44,Typ B
5.94,2.21,"2,98cm",0.9099999999999999,Typ B
5.82,2.85,"3,4cm",1.38,TypB
7.77,2.95,"4,61cm",1.5699999999999998,Typ B
6.25,2.82,"2,69cm",1.43,Typ B
6.0,2.84,"3,43cm",1.6,Typ B
6.78,2.93,"3,52cm",1.45,Typ B
6.2,2.35,"3,09cm",1.06,Typ B
6.25,3.4,"3,82cm",1.85,Typ B
6.83,3.15,"3,37cm",1.73,Typ B
7.87,2.8,"4,62cm",1.5499999999999998,Typ B
5.94,2.79,"3,66cm",1.45,Typ B
6.42,3.12,"3,73cm",1.6400000000000001,Typ B
7.39,2.76,"3,89cm",1.2,Typ B
6.33,2.76,"2,61cm",1.38,Typ B
6.17,3.49,"3,79cm",1.85,Typ B
